Description
"U14 Drenge Liga Øst 1 (11) helår
Kampnr 913470

Farum BK - OB
2-3
Farum Park
Farum Park 18
3520 Farum

09-11-2024 kl. 15:00"
"U14 Drenge Liga Øst 1 (11) helår
Kampnr 913461

Farum BK - KB
2-1
Farum Park
Farum Park 18
3520 Farum

29-09-2024 kl. 15:00"
"U14 Drenge Liga Øst 1 (11) helår
Kampnr 913462

Lyngby Boldklub 1921 - Brøndbyernes IF
2-1
Lyngby Stadion
Lundtoftevej 61
2800 Kgs.Lyngby

28-09-2024 kl. 13:00"
"U14 Drenge Liga Øst 1 (11) helår
Kampnr 913463

B.93  - HB Køge
0-3
B 93 Svanemølleanlæg.
Ved Sporsløjfen 10
2100 København Ø

28-09-2024 kl. 14:00"
"U14 Drenge Liga Øst 1 (11) helår
Kampnr 913464

Brøndbyernes IF - KB

Brøndby Stadion
Brøndby Stadion 30
2605 Brøndby

17-04-2025 kl. 12:00"
"U14 Drenge Liga Øst 1 (11) helår
Kampnr 913465

HB Køge - OB
0-4
Herfølge Stadion
Vordingborgvej 124
4681 Herfølge

06-10-2024 kl. 13:30"
"U14 Drenge Liga Øst 1 (11) helår
Kampnr 913466

Lyngby Boldklub 1921 - Farum BK
3-1
Lyngby Stadion
Lundtoftevej 61
2800 Kgs.Lyngby

05-10-2024 kl. 13:30"
"U14 Drenge Liga Øst 1 (11) helår
Kampnr 913467

HIK - B.93 
2-1
HIK
Bregnegårdsvej 25
2900 Hellerup

06-10-2024 kl. 14:00"
"U14 Drenge Liga Øst 1 (11) helår
Kampnr 913468

KB - HIK

Kunst, KB, P. Bangs Vej
Peter Bangs Vej 147
2000 Frederiksberg

08-03-2025 kl. 10:00"
"U14 Drenge Liga Øst 1 (11) helår
Kampnr 913469

HB Køge - Lyngby Boldklub 1921
0-2
Herfølge Stadion
Vordingborgvej 124
4681 Herfølge

09-11-2024 kl. 11:00"
"U14 Drenge Liga Øst 1 (11) helår
Kampnr 919690

B.93  - KB

B 93 Svanemølleanlæg.
Ved Sporsløjfen 10
2100 København Ø

14-06-2025 kl. 14:00"
"U14 Drenge Liga Øst 1 (11) helår
Kampnr 919691

HIK - Br��ndbyernes IF

HIK
Bregnegårdsvej 25
2900 Hellerup

15-06-2025 kl. 14:00"
"U14 Drenge Liga Øst 1 (11) helår
Kampnr 919692

OB - HIK

OB-Ådalen
Sdr. Boulevard 172
5000 Odense C

22-06-2025 kl. 14:00"
"U14 Drenge Liga Øst 1 (11) helår
Kampnr 919693

Farum BK - KB

Farum Park
Farum Park 18
3520 Farum

02-05-2025 kl. 18:30"
"U14 Drenge Liga Øst 1 (11) helår
Kampnr 919694

Lyngby Boldklub 1921 - Brøndbyernes IF

Lyngby Stadion
Lundtoftevej 61
2800 Kgs.Lyngby

22-06-2025 kl. 14:00"
"U14 Drenge Liga Øst 1 (11) helår
Kampnr 919695

B.93  - HB Køge

B 93 Svanemølleanlæg.
Ved Sporsløjfen 10
2100 København ��

21-06-2025 kl. 14:00"
