Description
"U17 Drenge Ligaen 2024/25
Kampnr 812509

FC København - Lyngby
4-2
Kunst, KB, P. Bangs Vej
Peter Bangs Vej 147
2000 Frederiksberg

02-10-2024 kl. 15:30"
"U17 Drenge Ligaen 2024/25
Kampnr 812620

Brøndby - FC Midtjylland
4-3
Brøndby Stadion
Brøndby Stadion 30
2605 Brøndby

29-10-2024 kl. 14:00"
"U17 Drenge Ligaen 2024/25
Kampnr 812621

Randers Freja FC - FC København

Randers Stadion, kunstgræs
Viborgvej 92
8920 Randers NV

24-05-2025 kl. 15:15"
"U17 Drenge Ligaen 2024/25
Kampnr 812622

OB - Silkeborg 

OB-Ådalen
Sdr. Boulevard 172
5000 Odense C

30-11-2024 kl. 15:00"
"U17 Drenge Ligaen 2024/25
Kampnr 812623

AGF - Lyngby
7-0
AGF's anlæg - Fredensvang
Terp Skovvej 16
8260 Viby J

30-11-2024 kl. 16:15"
"U17 Drenge Ligaen 2024/25
Kampnr 812624

Esbjerg - AaB
0-3
TESS Arena Esbjerg - kunstgræsbane 5
Gl. Vardevej 88
6700 Esbjerg

16-11-2024 kl. 12:30"
"U17 Drenge Ligaen 2024/25
Kampnr 812625

AC Horsens - Vejle
0-2
Jydsk Miljø Rengøring - Kunst Arena
Langmarksvej 59
8700 Horsens

04-12-2024 kl. 18:00"
"U17 Drenge Ligaen 2024/25
Kampnr 812626

FC Nordsjælland - Sønderjyske Fodbold
1-2
Farum Park
Farum Park 18
3520 Farum

12-10-2024 kl. 13:00"
"U17 Drenge Ligaen 2024/25
Kampnr 812627

FC Midtjylland - AC Horsens

EDC Arena – Ikast (kunst)
Stadion Alle 2A
7430 Ikast

07-06-2025 kl. 15:15"
"U17 Drenge Ligaen 2024/25
Kampnr 812628

FC København - AGF

Kunst, KB, P. Bangs Vej
Peter Bangs Vej 147
2000 Frederiksberg

29-05-2025 kl. 13:00"
"U17 Drenge Ligaen 2024/25
Kampnr 812629

Silkeborg  - FC Nordsjælland

JYSK Park (kunstgræs)
Ansvej 102
8600 Silkeborg

22-03-2025 kl. 15:30"
"U17 Drenge Ligaen 2024/25
Kampnr 812740

Vejle - Silkeborg 

VB Parken
Hellumvej 9
7100 Vejle

24-05-2025 kl. 15:00"
"U17 Drenge Ligaen 2024/25
Kampnr 812741

Esbjerg - Lyngby

TESS Arena Esbjerg - kunstgræsbane 5
Gl. Vardevej 88
6700 Esbjerg

14-06-2025 kl. 15:00"
"U17 Drenge Ligaen 2024/25
Kampnr 812742

Sønderjyske Fodbold - AC Horsens

Banerne ved Haderslev Idrætscenter
Stadionvej 5
6100 Haderslev

14-06-2025 kl. 15:00"
"U17 Drenge Ligaen 2024/25
Kampnr 812743

FC Midtjylland - Sønderjyske Fodbold
4-2
EDC Arena – Ikast (kunst)
Stadion Alle 2A
7430 Ikast

24-08-2024 kl. 13:00"
"U17 Drenge Ligaen 2024/25
Kampnr 812744

FC København - Randers Freja FC

Kunst, KB, P. Bangs Vej
Peter Bangs Vej 147
2000 Frederiksberg

21-06-2025 kl. 15:15"
"U17 Drenge Ligaen 2024/25
Kampnr 812745

Silkeborg  - OB

JYSK Park (kunstgræs)
Ansvej 102
8600 Silkeborg

31-05-2025 kl. 15:30"
"U17 Drenge Ligaen 2024/25
Kampnr 812746

Lyngby - AGF

Lyngby Stadion
Lundtoftevej 61
2800 Kgs.Lyngby

21-06-2025 kl. 15:15"
"U17 Drenge Ligaen 2024/25
Kampnr 812747

AC Horsens - Brøndby

Nordstern Arena Horsens
Langmarksvej 59
8700 Horsens

21-06-2025 kl. 15:15"
"U17 Drenge Ligaen 2024/25
Kampnr 812748

FC Nordsjælland - Vejle

Right to Dream Park
Farum Park 2
3520 Farum

22-02-2025 kl. 15:00"
"U17 Drenge Ligaen 2024/25
Kampnr 812749

AaB - Esbjerg

AaB's Anlæg
Hornevej 2
9220 Aalborg Øst

21-06-2025 kl. 15:15"
"U17 Drenge Ligaen 2024/25
Kampnr 812612

FC Nordsjælland - Lyngby
1-2
Right to Dream Park
Farum Park 2
3520 Farum

09-11-2024 kl. 15:30"
"U17 Drenge Ligaen 2024/25
Kampnr 812613

FC København - Brøndby
0-3
Kunst, KB, P. Bangs Vej
Peter Bangs Vej 147
2000 Frederiksberg

23-11-2024 kl. 14:00"
"U17 Drenge Ligaen 2024/25
Kampnr 812614

OB - FC Nordsjælland
1-3
OB-Ådalen
Sdr. Boulevard 172
5000 Odense C

04-12-2024 kl. 14:00"
"U17 Drenge Ligaen 2024/25
Kampnr 812615

Randers Freja FC - Vejle
2-1
Randers Stadion, kunstgræs
Viborgvej 92
8920 Randers NV

23-11-2024 kl. 15:15"
"U17 Drenge Ligaen 2024/25
Kampnr 812616

Esbjerg - Silkeborg 
1-0
TESS Arena Esbjerg - kunstgræsbane 5
Gl. Vardevej 88
6700 Esbjerg

23-11-2024 kl. 12:30"
"U17 Drenge Ligaen 2024/25
Kampnr 812617

Lyngby - AC Horsens
2-0
Lundtofte Idrætsplads
Ravnholmvej 11
2800 Kgs.Lyngby

23-11-2024 kl. 15:15"
"U17 Drenge Ligaen 2024/25
Kampnr 812618

AaB - AGF
2-1
AaB's Anlæg
Hornevej 2
9220 Aalborg Øst

23-11-2024 kl. 15:15"
"U17 Drenge Ligaen 2024/25
Kampnr 812619

Sønderjyske Fodbold - FC Midtjylland
2-2
Inkl. straffe: 7-8
Løjt Kunstgræsbane
Løjt Skolegade 17
6200 Aabenraa

23-11-2024 kl. 15:00"
"U17 Drenge Ligaen 2024/25
Kampnr 812730

Silkeborg  - FC K��benhavn

JYSK Park (kunstgræs)
Ansvej 102
8600 Silkeborg

17-05-2025 kl. 15:30"
"U17 Drenge Ligaen 2024/25
Kampnr 812731

Lyngby - OB

Lyngby Stadion
Lundtoftevej 61
2800 Kgs.Lyngby

17-05-2025 kl. 15:15"
"U17 Drenge Ligaen 2024/25
Kampnr 812732

AC Horsens - Randers Freja FC

Jydsk Miljø Rengøring - Kunst Arena
Langmarksvej 59
8700 Horsens

17-05-2025 kl. 15:15"
"U17 Drenge Ligaen 2024/25
Kampnr 812733

FC Nordsjælland - AGF

Right to Dream Park
Farum Park 2
3520 Farum

17-05-2025 kl. 15:30"
"U17 Drenge Ligaen 2024/25
Kampnr 812734

AaB - Vejle

AaB's Anlæg
Hornevej 2
9220 Aalborg Øst

17-05-2025 kl. 15:15"
"U17 Drenge Ligaen 2024/25
Kampnr 812735

Sønderjyske Fodbold - Esbjerg

Banerne ved Haderslev Idrætscenter
Stadionvej 5
6100 Haderslev

17-05-2025 kl. 15:00"
"U17 Drenge Ligaen 2024/25
Kampnr 812736

Brøndby - FC Nordsjælland

Brøndby Stadion
Brøndby Stadion 30
2605 Brøndby

14-06-2025 kl. 15:15"
